transaction_id,item
1,Fresh Bread
1,Organic Milk
1,Free-Range Eggs
1,Cheddar Cheese
2,Bagels
2,Fresh Cream
2,Organic Milk
2,Sweet Oranges
3,Greek Yogurt
3,Organic Bananas
3,Strawberries
3,Fresh Bread
4,Chicken Breast
4,Bell Peppers
4,Whole Grain Pasta
5,Ground Beef
5,Red Onions
5,Roma Tomatoes
5,Fresh Bread
6,Fresh Salmon
6,Russet Potatoes
6,Avocados
6,Spinach
7,Gala Apples
7,Greek Yogurt
7,Sweet Oranges
8,Avocados
8,Fresh Bread
8,Roma Tomatoes
8,Red Onions
9,Strawberries
9,Greek Yogurt
9,Almond Milk
10,Whole Grain Pasta
10,Roma Tomatoes
10,Bell Peppers
11,Fresh Bread
11,Premium Sausages
11,Red Onions
12,Russet Potatoes
12,Ground Turkey
12,Bell Peppers
13,Tuna Fillets
13,Spinach
13,Cauliflower
14,Brown Rice
14,Chicken Breast
14,Broccoli
15,Cottage Cheese
15,Gala Apples
15,Mangoes
16,Turkey Breast
16,Parmesan Cheese
16,Oats
17,Oats
17,Almond Milk
17,Blueberries
18,Peaches
18,Greek Yogurt
18,Organic Bananas
19,Ground Beef
19,Cheddar Cheese
19,Roma Tomatoes
20,Sourdough Bread
20,Butter
20,Organic Bananas
21,Crab Meat
21,Avocados
21,Bell Peppers
22,Bacon
22,Whole Wheat Bread
22,Free-Range Eggs
23,Pineapple
23,Cottage Cheese
23,Lychees
24,Fresh Salmon
24,Broccoli
24,Cauliflower
25,Chickpeas
25,Spinach
25,Roma Tomatoes
26,Sweet Oranges
26,Gala Apples
26,Almond Milk
27,Kiwi
27,Blueberries
27,Almond Milk
28,Bell Peppers
28,Ground Turkey
28,Brown Rice
29,Premium Sausages
29,Cauliflower
29,Ghee
